 Report Section , Region , PT Mode , Measures , 2010/11 , 2011/12 , 2012/13 , 2013/14 , 2014/15 , 2015/16 , 2016/17 , 2017/18 , 2018/19 , 2019/20 , 2020/21 , 2021/22 , 2022/23 , 2023/24 , 2024/25 
 National , National , Rail , SuperGold Fare Substitute ," 2,031,982 "," 2,360,008 "," 2,862,118 "," 3,005,062 "," 3,508,288 "," 4,226,534 "," 3,960,041 "," 4,082,881 "," 4,343,047 "," 4,861,376 "," 5,008,222 "," 5,086,227 "," 5,277,975 "," 5,529,853 "," 5,815,294 "
 Regional , Auckland , Bus , Boardings ," 51,163,334 "," 54,827,193 "," 53,530,078 "," 55,851,701 "," 59,796,338 "," 60,239,483 "," 62,697,533 "," 66,163,292 "," 73,047,950 "," 59,863,113 "," 48,661,763 "," 31,379,961 "," 54,659,318 "," 67,060,998 "," 70,169,455 "
 Regional , Auckland , Bus , Boardings SuperGold ," 4,448,046 "," 4,836,141 "," 4,968,735 "," 5,490,080 "," 5,929,067 "," 5,748,050 "," 5,606,496 "," 6,342,792 "," 7,629,427 "," 6,320,636 "," 5,557,601 "," 3,991,057 "," 5,568,487 "," 6,303,463 "," 6,454,373 "
 Regional , Auckland , Bus , Fares ," 87,076,898 "," 95,651,873 "," 99,602,076 "," 106,031,370 "," 120,456,055 "," 125,011,738 "," 116,564,731 "," 117,517,141 "," 115,177,279 "," 92,447,812 "," 75,184,196 "," 39,533,917 "," 47,891,443 "," 106,685,636 "," 119,898,881 "
 Regional , Auckland , Bus , Fleet Size , 958 , 994 ," 1,042 "," 1,053 "," 1,160 "," 1,201 "," 1,314 "," 1,350 "," 1,362 "," 1,329 "," 1,355 "," 1,360 "," 1,356 "," 1,344 "," 1,373 "
 Regional , Auckland , Bus , Passenger kilometres ," 354,516,132 "," 449,258,834 "," 438,790,183 "," 507,174,739 "," 458,675,254 "," 454,254,076 "," 451,904,530 "," 459,007,167 "," 493,766,997 "," 397,023,682 "," 329,055,295 "," 202,932,141 "," 367,020,275 "," 446,341,356 "," 454,352,296 "
 Regional , Auckland , Bus , Service kilometres ," 40,962,837 "," 41,564,412 "," 46,175,186 "," 47,901,288 "," 48,631,594 "," 46,189,045 "," 49,551,838 "," 54,279,010 "," 61,976,050 "," 61,287,895 "," 62,075,540 "," 55,519,985 "," 56,039,222 "," 61,932,604 "," 66,202,837 "
 Regional , Auckland , Bus , SuperGold Fare Substitute ," 7,170,949 "," 7,396,795 "," 7,711,260 "," 8,565,284 "," 9,833,733 "," 10,467,851 "," 9,466,776 "," 10,456,270 "," 10,606,538 "," 10,881,365 "," 11,317,244 "," 11,116,077 "," 12,042,261 "," 13,669,666 "," 14,821,287 "
 Regional , Auckland , Ferry , Boardings ," 4,735,717 "," 5,049,627 "," 4,957,052 "," 5,109,953 "," 5,536,389 "," 5,878,184 "," 6,149,274 "," 6,041,157 "," 6,311,101 "," 4,982,774 "," 4,212,583 "," 2,714,699 "," 4,434,449 "," 4,963,821 "," 6,975,004 "
 Regional , Auckland , Ferry , Boardings SuperGold ," 299,597 "," 341,783 "," 374,343 "," 404,419 "," 444,810 "," 446,765 "," 401,751 "," 424,979 "," 483,973 "," 361,395 "," 381,433 "," 266,299 "," 363,733 "," 578,922 "," 376,185 "
 Regional , Auckland , Ferry , Fares ," 22,609,543 "," 25,765,406 "," 26,339,979 "," 25,557,061 "," 26,982,679 "," 30,163,624 "," 32,907,265 "," 34,214,037 "," 35,460,832 "," 27,512,573 "," 21,870,346 "," 12,119,571 "," 9,272,583 "," 51,465,455 "," 48,131,904 "
 Regional , Auckland , Ferry , Fleet Size , 22 , 23 , 23 , 26 , 27 , 28 , 29 , 29 , 29 , 29 , 30 , 30 , 29 , 31 , 29 
 Regional , Auckland , Ferry , Passenger kilometres ," 52,771,317 "," 71,296,085 "," 74,877,792 "," 66,571,640 "," 75,317,758 "," 80,659,606 "," 84,363,882 "," 82,715,286 "," 87,404,675 "," 67,528,494 "," 58,481,496 "," 40,006,227 "," 64,843,331 "," 71,035,168 "," 65,776,766 "
 Regional , Auckland , Ferry , Service kilometres ," 834,203 "," 844,583 "," 850,030 "," 873,012 "," 938,976 "," 1,453,393 "," 1,441,590 "," 1,498,248 "," 1,456,113 "," 1,346,128 "," 1,125,399 "," 996,262 "," 1,389,896 "," 1,102,946 "," 1,330,891 "
 Regional , Auckland , Ferry , SuperGold Fare Substitute ," 1,892,123 "," 2,364,264 "," 2,392,176 "," 2,546,393 "," 2,774,197 "," 2,631,736 "," 2,245,586 "," 2,057,879 "," 2,684,086 "," 2,611,184 "," 2,719,875 "," 3,167,919 "," 3,224,349 "," 3,837,603 "," 4,235,176 "
 Regional , Auckland , Rail , Boardings ," 9,864,604 "," 10,904,160 "," 10,038,806 "," 11,435,082 "," 13,916,822 "," 16,786,493 "," 19,595,151 "," 20,148,332 "," 21,389,847 "," 17,444,294 "," 11,129,107 "," 7,124,283 "," 11,931,193 "," 12,524,482 "," 13,730,337 "
 Regional , Auckland , Rail , Boardings SuperGold ," 409,275 "," 486,288 "," 552,034 "," 548,854 "," 679,040 "," 792,734 "," 798,618 "," 848,542 "," 997,914 "," 830,746 "," 557,142 "," 405,590 "," 527,746 "," 564,467 "," 727,240 "
 Regional , Auckland , Rail , Fares ," 24,258,502 "," 27,126,458 "," 27,129,023 "," 30,635,932 "," 38,109,447 "," 44,660,051 "," 47,975,437 "," 46,198,364 "," 50,460,433 "," 41,683,721 "," 26,230,446 "," 13,681,805 "," 15,717,158 "," 33,374,775 "," 36,758,366 "
 Regional , Auckland , Rail , Fleet Size , 148 , 148 , 148 , 157 , 174 , 191 , 191 , 189 , 189 , 199 , 232 , 232 , 216 , 216 , -   
 Regional , Auckland , Rail , Passenger kilometres ," 142,647,712 "," 166,093,024 "," 158,689,294 "," 165,580,031 "," 186,728,067 "," 222,563,399 "," 262,120,352 "," 249,509,228 "," 260,582,994 "," 209,076,698 "," 131,015,563 "," 84,444,881 "," 142,644,747 "," 161,439,134 "," 169,989,648 "
 Regional , Auckland , Rail , Service kilometres ," 2,525,422 "," 2,699,446 "," 2,931,068 "," 3,105,123 "," 3,462,584 "," 3,806,841 "," 3,874,656 "," 4,016,122 "," 4,337,703 "," 4,175,304 "," 3,415,367 "," 3,589,214 "," 4,527,482 "," 2,956,142 "," 3,385,975 "
 Regional , Auckland , rail , SuperGold Fare Substitute ," 838,960 "," 985,569 "," 1,173,192 "," 1,166,434 "," 1,540,159 "," 1,906,508 "," 1,697,237 "," 1,874,637 "," 1,930,342 "," 2,026,860 "," 2,368,360 "," 2,462,834 "," 2,578,804 "," 2,733,039 "," 2,885,576 "
 Regional , Bay of Plenty , Bus , Boardings ," 2,479,589 "," 2,853,490 "," 2,854,444 "," 3,005,049 "," 3,109,603 "," 3,324,774 "," 3,142,802 "," 2,895,716 "," 2,714,912 "," 2,362,428 "," 2,678,839 "," 2,253,786 "," 2,734,308 "," 3,694,984 "," 3,681,767 "
