 Auckland , Ferry , SuperGold Fare Substitute ,2020,2611184
 Auckland , Rail , Boardings ,2020,17444294
 Auckland , Rail , Boardings SuperGold ,2020,830746
 Auckland , Rail , Fares ,2020,41683721
 Auckland , Rail , Fleet Size ,2020,199
 Auckland , Rail , Passenger kilometres ,2020,209076698
 Auckland , Rail , Service kilometres ,2020,4175304
 Canterbury , Bus , Boardings ,2020,11035588
 Canterbury , Bus , Boardings SuperGold ,2020,1186002
 Canterbury , Bus , Fares ,2020,14191708
 Canterbury , Bus , Fleet Size ,2020,254
 Canterbury , Bus , Passenger kilometres ,2020,
 Canterbury , Bus , Service kilometres ,2020,15947696
 Canterbury , Bus , SuperGold Fare Substitute ,2020,3350567
 Canterbury , Ferry , Boardings ,2020,126641
 Canterbury , Ferry , Boardings SuperGold ,2020,20102
 Canterbury , Ferry , Fares ,2020,308805
 Canterbury , Ferry , Fleet Size ,2020,1
 Canterbury , Ferry , Passenger kilometres ,2020,
 Canterbury , Ferry , Service kilometres ,2020,47466
 Canterbury , Ferry , SuperGold Fare Substitute ,2020,78844
 Wellington , Bus , Boardings ,2020,21335320
 Wellington , Bus , Boardings SuperGold ,2020,1965254
 Wellington , Bus , Fares ,2020,32391310
 Wellington , Bus , Fleet Size ,2020,451
 Wellington , Bus , Passenger kilometres ,2020,127491508
 Wellington , Bus , Service kilometres ,2020,14753195
 Wellington , Bus , SuperGold Fare Substitute ,2020,4740933
 Wellington , Ferry , Boardings ,2020,165382
 Wellington , Ferry , Boardings SuperGold ,2020,10381
 Wellington , Ferry , Fares ,2020,1034086
 Wellington , Ferry , Fleet Size ,2020,2
 Wellington , Ferry , Passenger kilometres ,2020,1782263
 Wellington , Ferry , Service kilometres ,2020,85507
 Wellington , Ferry , SuperGold Fare Substitute ,2020,107796
 Wellington , Rail , Boardings ,2020,11489110
 Wellington , Rail , Boardings SuperGold ,2020,416093
 Wellington , Rail , Fares ,2020,40427574
 Wellington , Rail , Fleet Size ,2020,190
 Wellington , Rail , Passenger kilometres ,2020,272506244
 Wellington , Rail , Service kilometres ,2020,3472969
 Wellington , Rail , SuperGold Fare Substitute ,2020,2834516
 Auckland , Bus , Boardings ,2021,48661763
 Auckland , Bus , Boardings SuperGold ,2021,5557601
 Auckland , Bus , Fares ,2021,75184196
 Auckland , Bus , Fleet Size ,2021,1355
 Auckland , Bus , Passenger kilometres ,2021,329055295
 Auckland , Bus , Service kilometres ,2021,62075540
 Auckland , Bus , SuperGold Fare Substitute ,2021,11317244
 Auckland , Ferry , Boardings ,2021,4212583
 Auckland , Ferry , Boardings SuperGold ,2021,381433
 Auckland , Ferry , Fares ,2021,21870346
 Auckland , Ferry , Fleet Size ,2021,30
 Auckland , Ferry , Passenger kilometres ,2021,58481496
 Auckland , Ferry , Service kilometres ,2021,1125399
 Auckland , Ferry , SuperGold Fare Substitute ,2021,2719875
 Auckland , Rail , Boardings ,2021,11129107
 Auckland , Rail , Boardings SuperGold ,2021,557142
 Auckland , Rail , Fares ,2021,26230446
 Auckland , Rail , Fleet Size ,2021,232
 Auckland , Rail , Passenger kilometres ,2021,131015563
 Auckland , Rail , Service kilometres ,2021,3415367
 Canterbury , Bus , Boardings ,2021,10313062
 Canterbury , Bus , Boardings SuperGold ,2021,1301479
 Canterbury , Bus , Fares ,2021,13411796
 Canterbury , Bus , Fleet Size ,2021,240
 Canterbury , Bus , Passenger kilometres ,2021,
 Canterbury , Bus , Service kilometres ,2021,16812550
 Canterbury , Bus , SuperGold Fare Substitute ,2021,3074098
 Canterbury , Ferry , Boardings ,2021,132938
 Canterbury , Ferry , Boardings SuperGold ,2021,25140
 Canterbury , Ferry , Fares ,2021,352882
 Canterbury , Ferry , Fleet Size ,2021,1
 Canterbury , Ferry , Passenger kilometres ,2021,
 Canterbury , Ferry , Service kilometres ,2021,45977
 Canterbury , Ferry , SuperGold Fare Substitute ,2021,73269
 Wellington , Bus , Boardings ,2021,21670682
 Wellington , Bus , Boardings SuperGold ,2021,2165453
 Wellington , Bus , Fares ,2021,36448404
 Wellington , Bus , Fleet Size ,2021,450
 Wellington , Bus , Passenger kilometres ,2021,121952897
 Wellington , Bus , Service kilometres ,2021,15486195
 Wellington , Bus , SuperGold Fare Substitute ,2021,4325949
 Wellington , Ferry , Boardings ,2021,167648
 Wellington , Ferry , Boardings SuperGold ,2021,13103
 Wellington , Ferry , Fares ,2021,1201370
 Wellington , Ferry , Fleet Size ,2021,2
 Wellington , Ferry , Passenger kilometres ,2021,1788189
 Wellington , Ferry , Service kilometres ,2021,118386
 Wellington , Ferry , SuperGold Fare Substitute ,2021,84734
 Wellington , Rail , Boardings ,2021,11270837
 Wellington , Rail , Boardings SuperGold ,2021,449042
 Wellington , Rail , Fares ,2021,43282900
 Wellington , Rail , Fleet Size ,2021,190
 Wellington , Rail , Passenger kilometres ,2021,267388819
 Wellington , Rail , Service kilometres ,2021,3588935
 Wellington , Rail , SuperGold Fare Substitute ,2021,2639862
 Auckland , Bus , Boardings ,2022,31379961
 Auckland , Bus , Boardings SuperGold ,2022,3991057
 Auckland , Bus , Fares ,2022,39533917
 Auckland , Bus , Fleet Size ,2022,1360
 Auckland , Bus , Passenger kilometres ,2022,202932141
 Auckland , Bus , Service kilometres ,2022,55519985
 Auckland , Bus , SuperGold Fare Substitute ,2022,11116077
 Auckland , Ferry , Boardings ,2022,2714699
 Auckland , Ferry , Boardings SuperGold ,2022,266299
 Auckland , Ferry , Fares ,2022,12119571
 Auckland , Ferry , Fleet Size ,2022,30
 Auckland , Ferry , Passenger kilometres ,2022,40006227
 Auckland , Ferry , Service kilometres ,2022,996262
 Auckland , Ferry , SuperGold Fare Substitute ,2022,3167919
 Auckland , Rail , Boardings ,2022,7124283
 Auckland , Rail , Boardings SuperGold ,2022,405590
 Auckland , Rail , Fares ,2022,13681805
 Auckland , Rail , Fleet Size ,2022,232
 Auckland , Rail , Passenger kilometres ,2022,84444881
 Auckland , Rail , Service kilometres ,2022,3589214
 Canterbury , Bus , Boardings ,2022,8832320
 Canterbury , Bus , Boardings SuperGold ,2022,1113854
 Canterbury , Bus , Fares ,2022,10225452
 Canterbury , Bus , Fleet Size ,2022,245
 Canterbury , Bus , Passenger kilometres ,2022,
 Canterbury , Bus , Service kilometres ,2022,16258187
 Canterbury , Bus , SuperGold Fare Substitute ,2022,3082141
 Canterbury , Ferry , Boardings ,2022,114190
 Canterbury , Ferry , Boardings SuperGold ,2022,20612
 Canterbury , Ferry , Fares ,2022,276749
 Canterbury , Ferry , Fleet Size ,2022,1
 Canterbury , Ferry , Passenger kilometres ,2022,
 Canterbury , Ferry , Service kilometres ,2022,45974
 Canterbury , Ferry , SuperGold Fare Substitute ,2022,66592
 Wellington , Bus , Boardings ,2022,17654506
 Wellington , Bus , Boardings SuperGold ,2022,1794007
 Wellington , Bus , Fares ,2022,24927535
 Wellington , Bus , Fleet Size ,2022,475
 Wellington , Bus , Passenger kilometres ,2022,97724675
 Wellington , Bus , Service kilometres ,2022,15509232
 Wellington , Bus , SuperGold Fare Substitute ,2022,4346754
 Wellington , Ferry , Boardings ,2022,137424
 Wellington , Ferry , Boardings SuperGold ,2022,11542
 Wellington , Ferry , Fares ,2022,1034134
 Wellington , Ferry , Fleet Size ,2022,3
 Wellington , Ferry , Passenger kilometres ,2022,1559803
 Wellington , Ferry , Service kilometres ,2022,96282
 Wellington , Ferry , SuperGold Fare Substitute ,2022,83456
 Wellington , Rail , Boardings ,2022,8133999
 Wellington , Rail , Boardings SuperGold ,2022,357437
 Wellington , Rail , Fares ,2022,27339539
 Wellington , Rail , Fleet Size ,2022,190
 Wellington , Rail , Passenger kilometres ,2022,190217444
 Wellington , Rail , Service kilometres ,2022,3525229
 Wellington , Rail , SuperGold Fare Substitute ,2022,2623393
 Auckland , Bus , Boardings ,2023,54659318
 Auckland , Bus , Boardings SuperGold ,2023,5568487
 Auckland , Bus , Fares ,2023,47891443
 Auckland , Bus , Fleet Size ,2023,1356
 Auckland , Bus , Passenger kilometres ,2023,367020275
 Auckland , Bus , Service kilometres ,2023,56039222
 Auckland , Bus , SuperGold Fare Substitute ,2023,12042261
 Auckland , Ferry , Boardings ,2023,4434449
 Auckland , Ferry , Boardings SuperGold ,2023,363733
 Auckland , Ferry , Fares ,2023,9272583
 Auckland , Ferry , Fleet Size ,2023,29
 Auckland , Ferry , Passenger kilometres ,2023,64843331
 Auckland , Ferry , Service kilometres ,2023,1389896
 Auckland , Ferry , SuperGold Fare Substitute ,2023,3224349
 Auckland , Rail , Boardings ,2023,11931193
 Auckland , Rail , Boardings SuperGold ,2023,527746
 Auckland , Rail , Fares ,2023,15717158
 Auckland , Rail , Fleet Size ,2023,216
 Auckland , Rail , Passenger kilometres ,2023,142644747
 Auckland , Rail , Service kilometres ,2023,4527482
 Canterbury , Bus , Boardings ,2023,11667358
 Canterbury , Bus , Boardings SuperGold ,2023,1407268
 Canterbury , Bus , Fares ,2023,8249456
 Canterbury , Bus , Fleet Size ,2023,276
 Canterbury , Bus , Passenger kilometres ,2023,
 Canterbury , Bus , Service kilometres ,2023,16859222
 Canterbury , Bus , SuperGold Fare Substitute ,2023,3291248
 Canterbury , Ferry , Boardings ,2023,135176
 Canterbury , Ferry , Boardings SuperGold ,2023,26553
 Canterbury , Ferry , Fares ,2023,201832
 Canterbury , Ferry , Fleet Size ,2023,1
 Canterbury , Ferry , Passenger kilometres ,2023,378171
 Canterbury , Ferry , Service kilometres ,2023,45974
 Canterbury , Ferry , SuperGold Fare Substitute ,2023,69999
 Wellington , Bus , Boardings ,2023,22272833
 Wellington , Bus , Boardings SuperGold ,2023,1993603
 Wellington , Bus , Fares ,2023,17587558
 Wellington , Bus , Fleet Size ,2023,445
 Wellington , Bus , Passenger kilometres ,2023,119837629
 Wellington , Bus , Service kilometres ,2023,16148382
 Wellington , Bus , SuperGold Fare Substitute ,2023,5568844
 Wellington , Ferry , Boardings ,2023,194661
 Wellington , Ferry , Boardings SuperGold ,2023,13121
 Wellington , Ferry , Fares ,2023,1473610
 Wellington , Ferry , Fleet Size ,2023,3
 Wellington , Ferry , Passenger kilometres ,2023,2213295
 Wellington , Ferry , Service kilometres ,2023,118262
 Wellington , Ferry , SuperGold Fare Substitute ,2023,85404
 Wellington , Rail , Boardings ,2023,10711688
 Wellington , Rail , Boardings SuperGold ,2023,328458
 Wellington , Rail , Fares ,2023,18408462
 Wellington , Rail , Fleet Size ,2023,190
 Wellington , Rail , Passenger kilometres ,2023,249801486
 Wellington , Rail , Service kilometres ,2023,3610361
 Wellington , Rail , SuperGold Fare Substitute ,2023,2699171
 Auckland , Bus , Boardings ,2024,67060998
 Auckland , Bus , Boardings SuperGold ,2024,6303463
 Auckland , Bus , Fares ,2024,106685636
 Auckland , Bus , Fleet Size ,2024,1344
 Auckland , Bus , Passenger kilometres ,2024,446341356
 Auckland , Bus , Service kilometres ,2024,61932604
 Auckland , Bus , SuperGold Fare Substitute ,2024,13669666
 Auckland , Ferry , Boardings ,2024,4963821
 Auckland , Ferry , Boardings SuperGold ,2024,578922
 Auckland , Ferry , Fares ,2024,51465455
 Auckland , Ferry , Fleet Size ,2024,31
 Auckland , Ferry , Passenger kilometres ,2024,71035168
 Auckland , Ferry , Service kilometres ,2024,1102946
 Auckland , Ferry , SuperGold Fare Substitute ,2024,3837603
 Auckland , Rail , Boardings ,2024,12524482
 Auckland , Rail , Boardings SuperGold ,2024,564467
 Auckland , Rail , Fares ,2024,33374775
 Auckland , Rail , Fleet Size ,2024,216
 Auckland , Rail , Passenger kilometres ,2024,161439134
 Auckland , Rail , Service kilometres ,2024,2956142
 Canterbury , Bus , Boardings ,2024,14573493
 Canterbury , Bus , Boardings SuperGold ,2024,1406863
 Canterbury , Bus , Fares ,2024,12084091
 Canterbury , Bus , Fleet Size ,2024,305
 Canterbury , Bus , Passenger kilometres ,2024,122885078
 Canterbury , Bus , Service kilometres ,2024,15798077
 Canterbury , Bus , SuperGold Fare Substitute ,2024,3702526
 Canterbury , Ferry , Boardings ,2024,155203
 Canterbury , Ferry , Boardings SuperGold ,2024,23910
 Canterbury , Ferry , Fares ,2024,385850
 Canterbury , Ferry , Fleet Size ,2024,1
 Canterbury , Ferry , Passenger kilometres ,2024,465609
 Canterbury , Ferry , Service kilometres ,2024,38849
 Canterbury , Ferry , SuperGold Fare Substitute ,2024,77759
 Wellington , Bus , Boardings ,2024,26139916
 Wellington , Bus , Boardings SuperGold ,2024,2243097
 Wellington , Bus , Fares ,2024,31526940
 Wellington , Bus , Fleet Size ,2024,463
 Wellington , Bus , Passenger kilometres ,2024,157926883
 Wellington , Bus , Service kilometres ,2024,16616271
 Wellington , Bus , SuperGold Fare Substitute ,2024,6151480
 Wellington , Ferry , Boardings ,2024,187953
 Wellington , Ferry , Boardings SuperGold ,2024,6266
 Wellington , Ferry , Fares ,2024,932204
 Wellington , Ferry , Fleet Size ,2024,3
